小时,区域A,区域B,区域C,区域D,区域E,区域F
2376,0.022222222222222223,0.06324786324786325,0.012962962962962963,0.08763586956521739,0.1432806324110672,0.14596273291925466
2377,0.10952380952380952,0.08034188034188035,0.22407407407407406,0.2296195652173913,0.48616600790513836,0.4803312629399586
2378,0.10476190476190476,0.10598290598290598,0.29259259259259257,0.2642663043478261,0.8606719367588933,0.7629399585921325
2379,0.16825396825396827,0.1282051282051282,0.337037037037037,0.48845108695652173,0.6798418972332015,0.8778467908902692
2380,0.32222222222222224,0.4170940170940171,0.3888888888888889,0.327445652173913,0.7717391304347826,0.9648033126293996
2381,0.37142857142857144,0.5504273504273505,0.3537037037037037,0.37839673913043476,0.658102766798419,0.9554865424430642
2382,0.35555555555555557,0.5025641025641026,0.4962962962962963,0.36141304347826086,0.4199604743083004,0.9710144927536232
2383,0.1984126984126984,0.4341880341880342,0.5,0.4375,0.5108695652173914,0.8933747412008282
2384,0.2,0.37094017094017095,0.2833333333333333,0.45652173913043476,0.6521739130434783,0.5445134575569358
2385,0.12380952380952381,0.4478632478632479,0.1814814814814815,0.27853260869565216,0.7648221343873518,0.717391304347826
2386,0.11746031746031746,0.5965811965811966,0.16296296296296298,0.311820652173913,0.8349802371541502,0.8105590062111802
2387,0.15079365079365079,0.6666666666666666,0.35555555555555557,0.35054347826086957,0.8596837944664032,0.9855072463768116
2388,0.3873015873015873,0.48376068376068376,0.32037037037037036,0.33491847826086957,0.6284584980237155,0.9875776397515528
2389,0.24603174603174602,0.5743589743589743,0.3425925925925926,0.32133152173913043,0.5909090909090909,0.7505175983436853
2390,0.23015873015873015,0.3572649572649573,0.29074074074074074,0.47078804347826086,0.8972332015810277,0.7080745341614907
2391,0.4126984126984127,0.4512820512820513,0.12037037037037036,0.563858695652174,0.9515810276679841,0.7556935817805382
2392,0.2698412698412698,0.26495726495726496,0.12962962962962962,0.6229619565217391,0.9970355731225297,0.9368530020703933
2393,0.2857142857142857,0.20854700854700856,0.16111111111111112,0.44972826086956524,0.708498023715415,0.8405797101449275
2394,0.2746031746031746,0.31965811965811963,0.1111111111111111,0.4796195652173913,0.8972332015810277,0.9513457556935818
2395,0.25396825396825395,0.4735042735042735,0.11296296296296296,0.5366847826086957,0.9594861660079052,0.6873706004140787
2396,0.32222222222222224,0.558974358974359,0.13148148148148148,0.6114130434782609,0.9061264822134387,0.6946169772256728
2397,0.5666666666666667,0.3418803418803419,0.1,0.4592391304347826,0.7223320158102767,0.7888198757763976
2398,0.5793650793650794,0.347008547008547,0.09444444444444444,0.5067934782608695,0.6907114624505929,0.8540372670807453
2399,0.2920634920634921,0.35213675213675216,0.1962962962962963,0.38247282608695654,0.6482213438735178,0.994824016563147
2400,0.2634920634920635,0.28717948717948716,0.16666666666666666,0.296875,0.5889328063241107,0.7867494824016563
2401,0.24285714285714285,0.13846153846153847,0.15555555555555556,0.15217391304347827,0.3705533596837945,0.4668737060041408
2402,0.16984126984126985,0.07863247863247863,0.1388888888888889,0.13926630434782608,0.34980237154150196,0.2515527950310559
2403,0.006349206349206349,0.05128205128205128,0.06296296296296296,0.08355978260869565,0.2776679841897233,0.12629399585921325
2404,0.006349206349206349,0.03418803418803419,0.020370370370370372,0.08355978260869565,0.2391304347826087,0
2405,0.006349206349206349,0,0,0,0.11363636363636363,0
