到达小时,真实值,ETS,ARIMA,等权组合,最优组合
2376,473,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2377,1092,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2378,923,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2379,662,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2380,869,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2381,786,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2382,461,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2383,674,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2384,536,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2385,732,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2386,646,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2387,994,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2388,669,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2389,594,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2390,1049,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2391,781,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2392,723,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2393,358,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2394,987,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2395,733,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2396,722,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2397,573,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2398,867,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
2399,545,612.9320842857895,612.8640572390593,612.8980707624244,612.8640572390593
